COUNTY NAME,AI MALE VOTERS,AI FEMALE VOTERS,AI UNKNOWN VOTERS,AP MALE VOTERS,AP FEMALE VOTERS,AP UNKNOWN VOTERS,BH MALE VOTERS,BH FEMALE VOTERS,BH UNKNOWN VOTERS,HP MALE VOTERS,HP FEMALE VOTERS,HP UNKNOWN VOTERS,WH MALE VOTERS,WH FEMALE VOTERS,WH UNKNOWN VOTERS,OT MALE VOTERS,OT FEMALE VOTERS,OT UNKNOWN VOTERS,UK MALE VOTERS,UK FEMALE VOTERS,UK UNKNOWN VOTERS,TOTAL VOTERS,PER CAPITA INCOME,MEDIAN HOUSEHOLD INCOME,MEDIAN FAMILY INCOME,POVERTY RATE
APPLING,10,5,0,26,28,0,886,1115,0,108,122,0,3913,4411,4,28,49,0,389,343,3,11440,18977,36155,46005,21.9
ATKINSON,2,7,0,2,3,0,395,509,1,161,201,2,1514,1717,1,16,17,0,119,131,3,4801,15456,33834,34859,26.1
BACON,2,3,0,8,10,0,322,525,1,55,49,0,2482,2838,4,18,20,0,216,172,1,6726,17110,31429,45442,22.8
BAKER,1,1,0,5,7,0,408,514,0,8,12,0,572,610,0,5,6,0,58,51,0,2258,16379,27462,42585,22.9
BALDWIN,16,15,1,106,137,0,4553,6322,5,104,124,1,6447,7300,14,85,114,0,753,642,3,26742,17488,37237,47714,23.8
BANKS,15,9,0,55,63,1,148,118,2,151,141,0,5508,5692,10,54,47,0,504,384,3,12905,19497,40455,48606,13
BARROW,58,62,0,727,768,5,2840,3466,8,1492,1641,9,18619,20420,54,360,438,1,2472,2231,23,55694,20882,48958,55415,9.5
BARTOW,85,85,0,245,251,2,3245,3864,7,1179,1230,0,27198,29399,68,427,434,2,3512,3124,23,74380,22241,49216,56281,12.2
BEN HILL,7,6,0,29,27,0,1354,1988,4,71,100,0,2730,3114,5,28,39,0,188,198,4,9892,15529,30134,35868,26.2
BERRIEN,19,17,0,18,20,0,520,624,1,88,92,0,4493,4867,10,44,35,1,238,225,5,11317,16049,32202,40869,21.8
BIBB,115,116,1,715,668,4,24109,31582,49,540,707,2,19772,22509,48,628,807,7,2949,2753,45,108126,21436,38798,52158,24.7
BLECKLEY,6,3,0,26,24,0,622,884,0,24,26,0,2683,2927,2,24,31,0,138,137,1,7558,18960,35661,48750,18.7
BRANTLEY,17,7,0,10,10,0,123,148,0,28,32,0,4902,5382,8,29,42,0,333,229,2,11302,18905,37343,43028,18.3
BROOKS,6,12,0,11,25,0,1740,2184,0,80,108,0,3063,3240,3,49,55,1,293,300,0,11170,20346,41309,47599,24.5
BRYAN,57,44,0,219,276,2,1859,2205,8,481,569,2,10298,11232,28,236,313,2,1411,1384,25,30651,28365,63244,72118,8.6
BULLOCH,38,27,1,170,202,0,4435,6104,11,299,335,1,13318,14740,36,238,303,1,2405,2056,17,44737,17812,34327,51904,22.9
BURKE,20,12,0,26,27,0,3151,4133,5,74,75,1,3711,3960,10,61,80,1,703,517,3,16570,15934,33155,41659,22
BUTTS,34,17,0,18,32,0,1708,2043,5,106,101,0,5592,6032,12,85,70,1,685,649,5,17195,20963,52257,59511,19.7
CALHOUN,0,0,0,12,12,0,773,1064,2,12,11,0,548,598,1,6,5,0,72,66,5,3187,12452,30522,37309,37.2
CAMDEN,39,48,0,164,248,1,2417,3155,3,362,470,2,10046,11191,15,241,306,0,3325,3095,13,35141,22022,49230,57366,15.8
CANDLER,4,3,0,10,12,0,608,748,1,63,100,1,1950,2178,8,17,13,0,310,297,5,6328,16068,35828,39105,24.6
CARROLL,89,94,1,235,282,1,6424,7781,15,853,930,3,28086,30563,61,484,652,5,3703,3581,23,83866,20523,45559,53703,16.8
CATOOSA,54,48,0,174,176,1,455,474,1,202,282,1,17987,20726,70,163,181,0,2443,2317,30,45785,22563,46544,54796,11.9
CHARLTON,8,4,0,19,15,0,560,706,0,20,13,0,2042,2283,4,25,31,1,452,378,1,6562,16652,40850,45913,25.6
CHATHAM,273,250,0,1641,1839,9,32352,40995,93,2605,2874,11,47491,52735,145,1718,1981,9,7956,7863,159,202999,25397,44928,54933,14.4
CHATTAHOOCHEE,2,4,0,32,43,0,456,504,1,149,123,0,1021,978,2,41,47,0,346,191,3,3943,22202,51089,55745,17.3
CHATTOOGA,15,11,0,20,25,0,416,508,0,79,70,0,5355,6177,6,50,74,0,716,660,1,14183,15158,32419,39037,19.5
CHEROKEE,160,181,0,1163,1470,4,4995,5980,13,3552,4216,14,70222,76672,127,1380,1475,7,9717,9175,82,190605,30217,66320,77190,7.4
CLARKE,58,70,0,639,788,8,8751,11551,33,1430,1641,14,20377,22705,106,617,786,6,3711,3451,106,76848,19839,34253,51687,27
CLAY,1,0,0,1,2,0,455,653,2,1,3,0,405,436,1,1,1,0,48,43,0,2053,13353,26250,31354,29.8
CLAYTON,259,214,2,2894,2786,29,59228,77006,202,4006,4413,26,9355,10662,26,2154,2903,17,8540,9414,202,194338,18958,43311,48064,17.6
CLINCH,5,7,0,5,8,0,496,674,2,17,17,0,1366,1480,4,9,17,0,133,105,0,4345,16709,31963,45350,25.8
COBB,591,588,0,8571,9514,32,61751,80224,156,14181,16263,47,140721,150907,256,6384,8115,43,19102,19846,367,537659,33110,65522,78920,9.1
COFFEE,21,18,0,68,67,0,2825,3854,9,444,461,3,7303,8462,15,87,90,1,754,674,9,25165,16664,35202,39880,23.9
COLQUITT,21,17,0,61,66,0,2420,3147,5,608,689,0,7695,8668,20,99,143,1,733,678,16,25087,17362,32902,39086,23.9
COLUMBIA,137,144,0,1559,1959,9,8171,9862,28,1667,1999,3,34145,37332,67,1012,1311,3,4094,4102,52,107656,29479,66333,74426,7.1
COOK,5,6,0,25,28,0,1183,1619,1,86,101,0,3498,3755,1,37,40,0,151,114,0,10650,16528,31390,37352,24.5
