COUNTY,fips,BIDEN VOTES,BIDEN PCT,TRUMP VOTES,TRUMP PCT,PERDUE VOTES,PERDUE PCT,OSSOFF VOTES,OSSOFF PCT,WARNOCK VOTES,WARNOCK PCT,LOEFFLER VOTES,LOEFFLER PCT,OSSOFF VOTES 2,OSSOFF PCT 2,PERDUE VOTES 2,PERDUE PCT 2,WARNOCK VOTES 2,WARNOCK PCT 2,LOEFFLER VOTES 2,LOEFFLER PCT 2,TOTAL VOTERS
Appling County,13001,"1,779",21.3,"6,526",78.2,"6,306",77,"1,753",21.4,"1,051",12.9,"1,807",22.1,"1,594",21.9,"5,680",78.1,"1,592",21.9,"5,687",78.1,11440
Atkinson County,13003,825,26.1,"2,300",72.9,"2,272",73.4,773,25,406,13.6,946,31.6,720,27.2,"1,925",72.8,722,27.3,"1,926",72.7,4801
Bacon County,13005,625,13.4,"4,018",86.1,"3,929",85.6,591,12.9,315,7,"1,547",34.3,558,13.5,"3,566",86.5,558,13.5,"3,569",86.5,6726
Baker County,13007,652,41.9,897,57.7,873,56.9,648,42.2,457,30.2,413,27.3,624,43.5,810,56.5,619,43.1,816,56.9,2258
Baldwin County,13009,"9,140",50.1,"8,903",48.8,"8,873",49.1,"8,783",48.6,"6,167",34.4,"4,639",25.9,"8,510",51.8,"7,930",48.2,"8,564",52,"7,898",48,26742
Banks County,13011,932,10.6,"7,795",88.6,"7,636",87.5,899,10.3,604,7,"2,605",30,829,11.2,"6,582",88.8,853,11.5,"6,555",88.5,12905
Barrow County,13013,"10,453",27.6,"26,804",70.7,"26,317",70,"10,066",26.8,"6,025",16.2,"14,483",38.9,"9,275",28.9,"22,786",71.1,"9,416",29.4,"22,657",70.6,55694
Bartow County,13015,"12,091",24,"37,673",74.7,"37,008",74,"11,663",23.3,"7,655",15.4,"21,183",42.7,"10,735",25,"32,239",75,"10,928",25.4,"32,049",74.6,74380
Ben Hill County,13017,"2,392",36.5,"4,110",62.7,"4,077",62.9,"2,284",35.3,"1,308",20.3,"1,780",27.6,"2,182",38.2,"3,531",61.8,"2,193",38.3,"3,533",61.7,9892
Berrien County,13019,"1,269",16.4,"6,419",82.9,"6,286",82.2,"1,204",15.7,701,9.3,"3,318",43.9,"1,141",17.1,"5,538",82.9,"1,145",17.1,"5,539",82.9,11317
Bibb County,13021,"43,468",61.4,"26,585",37.5,"26,645",38.1,"41,928",59.9,"30,896",44.2,"14,584",20.9,"39,717",62.6,"23,748",37.4,"39,972",62.9,"23,555",37.1,108126
Bleckley County,13023,"1,311",23,"4,328",75.8,"4,281",75.9,"1,249",22.1,876,15.6,"2,133",38,"1,190",23.3,"3,920",76.7,"1,214",23.7,"3,898",76.3,7558
Brantley County,13025,699,9,"6,991",90.3,"6,812",89.4,688,9,,,,,615,9.3,"6,003",90.7,613,9.3,"5,999",90.7,11302
Brooks County,13027,"2,790",39.3,"4,260",60,"4,250",60.9,"2,607",37.4,"1,024",15,"1,953",28.6,"2,444",39.5,"3,746",60.5,"2,443",39.5,"3,747",60.5,11170
Bryan County,13029,"6,739",31.6,"14,244",66.7,"14,067",66.5,"6,497",30.7,"3,941",18.9,"7,950",38.1,"6,020",32.3,"12,596",67.7,"6,009",32.3,"12,596",67.7,30651
Bulloch County,13031,"11,243",37.4,"18,386",61.1,"18,232",61.2,"10,846",36.4,"6,665",22.5,"8,944",30.3,"9,808",37.6,"16,288",62.4,"9,824",37.7,"16,264",62.3,44737
Burke County,13033,"5,209",48.8,"5,400",50.5,"5,407",51.2,"4,989",47.2,"3,158",30.2,"3,018",28.8,"4,681",49.4,"4,804",50.6,"4,690",49.4,"4,802",50.6,16570
Butts County,13035,"3,272",27.8,"8,405",71.4,"8,328",71.4,"3,128",26.8,"2,207",19,"4,540",39.1,"3,000",29.4,"7,203",70.6,"3,022",29.6,"7,181",70.4,17195
Calhoun County,13037,"1,260",57.4,923,42.1,933,43,"1,211",55.8,819,38,510,23.7,"1,201",59.2,828,40.8,"1,205",59.3,826,40.7,3187
Camden County,13039,"7,967",33.6,"15,251",64.4,"14,987",64.2,"7,467",32,"2,967",12.9,"6,631",28.9,"6,838",34.5,"13,003",65.5,"6,789",34.2,"13,051",65.8,35141
Candler County,13043,"1,269",28.6,"3,134",70.7,"3,078",70.4,"1,233",28.2,778,18,"1,556",36,"1,134",29,"2,781",71,"1,131",28.9,"2,787",71.1,6328
Carroll County,13045,"16,238",29.8,"37,476",68.8,"36,997",68.5,"15,549",28.8,"10,688",19.9,"20,167",37.6,"14,590",30.9,"32,573",69.1,"14,819",31.4,"32,338",68.6,83866
Catoosa County,13047,"6,932",21.3,"25,167",77.2,"24,571",76.4,"6,599",20.5,"2,415",7.6,"13,577",42.8,"6,009",21.6,"21,757",78.4,"5,985",21.5,"21,792",78.5,45785
Charlton County,13049,"1,103",24.2,"3,419",74.9,"3,357",75,"1,016",22.7,334,7.7,"1,095",25.3,966,24.7,"2,945",75.3,952,24.4,"2,947",75.6,6562
Chatham County,13051,"78,369",58.7,"53,288",39.9,"53,036",40.2,"75,983",57.6,"54,715",41.6,"30,472",23.2,"72,441",59.7,"48,978",40.3,"72,680",59.9,"48,750",40.1,202999
Chattahoochee County,13053,667,42.2,880,55.6,850,55,636,41.1,410,26.7,388,25.3,604,45.9,712,54.1,599,45.6,716,54.4,3943
